timestamp,ghi_wm2,temp_c,tipo_dia,bloque_horario,evento_social,hora,mes,dia_semana_0_6,dia_semana_iso,dow_sin,dow_cos,hora_sin,hora_cos,occ_dormitorios,occ_sala,occ_cocina,occ_servicios,occ_total,ocupacion_binaria,demanda_dormitorios_kwh,demanda_sala_kwh,demanda_cocina_kwh,demanda_servicios_kwh,load_base_kwh,load_tv_kwh,load_laptops_kwh,load_lavadora_kwh,demanda_casa_hora,energia_fv_kwh,unidad_energia_fv,potencia_fv_kw,unidad_potencia_fv,SOC_bateria_base,energia_bateria_base_kwh,energia_curtail_base_kwh,demanda_no_servida_base_kwh,ev_disponible,ev_presente,ev_ready,p_ev_max_kw,e_ev_max_kwh_h,ev_cargable,demanda_critica_hora,demanda_flexible_hora,demanda_controlable_hora,demanda_efectiva_u1,hay_excedente_fv,ducha_evento,ducha_minutos,ducha_potencial_kwh,ducha_modo,demanda_pred_lstm_t1,SOC_mpc,bat_charge_kwh,bat_discharge_kwh,ENS_total_kwh,Curt_kwh,u_shed,u_ducha,ducha_servida_kwh,demanda_total_potencial_kwh,demanda_servida_kwh
2025-01-01 00:00:00,0.0,6.68,evento,madrugada,1,0,1,2,3,0.4338837391175582,-0.900968867902419,0.0,1.0,5,0,0,0,5,1,0.185,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.0,kWh,0.0,kW,0.5,0.0,0.0,0.0,1,0,1,3.3,3.3,0,0.172,0.0,0.17,0.342,0,0,0,0.0,none,0.342,0.4388694892524871,0.12540344929821956,0.6939164650930164,0.0,0.22651300521366233,1.0,2.0575977803546177e-14,0.0,0.34199999999999997,0.34199999999999997
2025-01-01 01:00:00,0.0,6.5,evento,madrugada,1,1,1,2,3,0.4338837391175582,-0.900968867902419,0.2588190451025207,0.9659258262890684,5,0,0,0,5,1,0.185,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.0,kWh,0.0,kW,0.4639999999999999,-0.36,0.0,0.0,1,1,1,3.3,3.3,1,0.172,0.0,0.17,0.342,0,0,0,0.0,none,0.342,0.3839325647285631,0.48140028654249056,0.9563645415818754,1.6050279421487193e-06,0.13296593321939293,0.9999995882941138,1.2088207615039624e-12,0.0,0.34199999999999997,0.3419983249820572
2025-01-01 02:00:00,0.0,6.19,evento,madrugada,1,2,1,2,3,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,5,0,0,0,5,1,0.185,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.0,kWh,0.0,kW,0.4279999999999999,-0.36,0.0,0.0,1,1,1,3.3,3.3,1,0.172,0.0,0.17,0.342,0,0,0,0.0,none,0.342,0.33050018552863747,0.1365124230067671,0.6308100641629008,0.0,0.1522976360225356,1.0,1.377326582077513e-14,0.0,0.34199999999999997,0.34199999999999997
2025-01-01 03:00:00,0.0,5.9,evento,madrugada,1,3,1,2,3,0.4338837391175582,-0.900968867902419,0.7071067811865476,0.7071067811865476,5,0,0,0,5,1,0.185,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.0,kWh,0.0,kW,0.3919999999999999,-0.36,0.0,0.0,1,1,1,3.3,3.3,1,0.172,0.0,0.17,0.342,0,0,0,0.0,none,0.342,0.2884601937736082,0.5885030980883241,0.930503967697491,0.0,4.2792600512891546e-07,1.0,0.0,0.0,0.34199999999999997,0.34199999999999997
2025-01-01 04:00:00,0.0,5.66,evento,madrugada,1,4,1,2,3,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001,5,0,0,0,5,1,0.185,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.0,kWh,0.0,kW,0.356,-0.36,0.0,0.0,1,0,1,3.3,3.3,0,0.172,0.0,0.17,0.342,0,0,0,0.0,none,0.342,0.25037310946194014,0.20336998033175027,0.5453687082102512,6.301998545886366e-07,0.0,0.9999998937696574,0.0,0.0,0.34199999999999997,0.34199935174098717
2025-01-01 05:00:00,4.43,5.59,evento,madrugada,1,5,1,2,3,0.4338837391175582,-0.900968867902419,0.9659258262890684,0.2588190451025207,4,0,0,1,5,1,0.148,0.0,0.0,0.08,0.157,0.0,0.0,0.0,0.385,0.0,kWh,0.0,kW,0.3154736842105262,-0.4052631578947369,0.0,0.0,1,1,1,3.3,3.3,1,0.172,0.0,0.213,0.385,0,1,10,0.5833333333333333,bateria,0.385,0.14821651310077405,0.022064816253803594,0.9904011621001354,0.0,1.2635977240479066e-06,1.0,1.0,0.5833333333333333,0.9683333333333333,0.9683333333333333
2025-01-01 06:00:00,89.6,7.3,evento,manana,1,6,1,2,3,0.4338837391175582,-0.900968867902419,1.0,6.123233995736766e-17,0,5,0,0,5,1,0.0,0.185,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.527729664,kWh,0.527729664,kW,0.3331180022905262,0.1764431807999999,0.0,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.185,0.342,1,1,11,0.6416666666666666,fv,0.342,0.1,0.021765582315084863,0.4777009510119077,6.664536730346645e-07,0.0,0.9999998761030948,0.999999570296506,0.6416663909402579,0.9836666666666666,0.9836657015656575
2025-01-01 07:00:00,253.95,9.75,evento,manana,1,7,1,2,3,0.4338837391175582,-0.900968867902419,0.9659258262890684,-0.2588190451025208,0,4,0,1,5,1,0.0,0.148,0.0,0.08,0.157,0.0,0.0,0.0,0.385,1.495724868,kWh,1.495724868,kW,0.4386368647505262,1.0551886246,0.0,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.228,0.385,1,1,18,1.05,fv,0.385,0.10235042622714055,0.39380326565290613,0.33307839809391265,0.0,2.6034861685780944e-11,1.0,1.0,1.05,1.435,1.435
2025-01-01 08:00:00,437.33,11.58,evento,manana,1,8,1,2,3,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,3,1,1,5,1,0.0,0.111,0.037,0.08,0.157,0.0,0.0,0.0,0.385,2.5758037272000003,kWh,2.5758037272000003,kW,0.6467632188345263,2.08126354084,0.0,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.228,0.385,1,0,0,0.0,none,0.385,0.14664872432398504,0.7474856537000983,0.2537719705443159,0.0,1.6970900435354934,1.0,5.828617360470492e-16,0.0,0.385,0.385
2025-01-01 09:00:00,548.0,13.29,evento,manana,1,9,1,2,3,0.4338837391175582,-0.900968867902419,0.7071067811865476,-0.7071067811865475,0,5,0,0,5,1,0.0,0.185,0.0,0.0,0.157,0.0,0.0,0.0,0.342,3.22763232,kWh,3.22763232,kW,0.9208982892345264,2.741350704,0.0,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.185,0.342,1,0,0,0.0,none,0.342,0.26212834826550824,1.4279557655836508,0.191673650994774,5.208493354436656e-09,1.6493502106165698,1.0,0.0,0.0,0.34199999999999997,0.3419999947915066
